id_municipio,prop_pop_trab_remun,prop_migrantes_recentes
1400027,0.69712425727983973,0.28084879945801616
1400050,0.61990321515856961,0.14654656648267739
1400100,0.33477223286740043,0.25530210112341295
1400159,0.3927772426068375,0.26271790982813309
1400175,0.34207410580464315,0.42396889127194237
1400233,0.70630538763750239,0.27446958662925092
1400308,0.48720996044561427,0.276014417383419
1400456,0.594018084359128,0.35780719767629393
1400506,0.55060427956440361,0.31413703262731568
1400605,0.52478077715843841,0.30847211143834979
1200013,0.52144829377429436,0.34496107545769777
1200138,0.60080520990359343,0.28534776138898127
1200336,0.60021817600380989,0.089108301912882867
1200344,0.58120246617321458,0.14096230152127365
1200393,0.59928392748147274,0.01982320565460341
1200401,0.40571912492252904,0.11074493651688704
1200450,0.48481243883955139,0.21681350733779015
1200708,0.46769161760882966,0.065241750238754947
1200807,0.57723654055329454,0.28781157266731755
1600055,0.5173071764831666,0.31160741687392418
1600105,0.50101753197370436,0.10695761552841633
1600154,0.73639549894277856,0.3217608980025316
1600212,0.57345777389699315,0.13351059525433612
1600238,0.54468358219234925,0.20028504734971994
1600253,0.44803250026740687,0.25020442149735578
1600279,0.4595201780229643,0.2340059257260898
1600501,0.47563352817550436,0.25730834287201049
1600600,0.47974300609009607,0.17974864738765239
1700251,0.700493959137418,0.2138380173300008
1700350,0.5191947949213882,0.19194217149499923
1700707,0.480408394431153,0.15288418766176565
1702000,0.50053608181002684,0.13972330015011775
1702158,0.66196130484826365,0.44607297887688618
1702208,0.61223609079789554,0.17806427207425563
1702307,0.49706526911447108,0.19276276442874135
1702901,0.6721248810460797,0.15364031222150312
1703008,0.75930324742214894,0.099094926660343238
1703057,0.48670387197139808,0.26668606084890556
1703107,0.58426610807030033,0.23736862254917521
1703206,0.54511550150496479,0.2727779234164916
1703305,0.69510719797329679,0.21506695787450256
1703800,0.76193417420959,0.11208315186391855
1703826,0.77264460960333126,0.15683141821846946
1703867,0.50377792734128035,0.27729435534996438
1703883,0.60139213475933329,0.30490443428955288
1703891,0.66771338265913727,0.17165614636891854
1705102,0.70669584779350447,0.23878373508987574
1705557,0.65173105002847331,0.1753181106049902
1706100,0.51873598150820543,0.1372617417697557
1707108,0.5679921547274569,0.2001980169547006
1707207,0.56587879702916644,0.13000633672703782
1707306,0.48663763316174935,0.24618027284232585
1707405,0.75128265416056061,0.25440617347775629
1707553,0.66748005627020279,0.21746319650577087
1707652,0.47160641779651397,0.1609115732503047
1708304,0.71391127658182241,0.20452436537452173
1709302,0.45208517568828904,0.15411741716751987
1709500,0.43536518357490639,0.18673263063509682
1710508,0.72908055245330261,0.12490751641074913
1711902,0.5898897646192296,0.3502956664190125
1711951,0.87770031489694256,0.10078487960548442
1712009,0.44535816750486895,0.53915364123908494
1712157,0.79592281339679982,0.13578614580499865
1712405,0.71750587497823182,0.061565491615189233
1712504,0.5511235024985619,0.40958719814306593
1713304,0.50846522323787491,0.18810445909120058
1713601,0.6334676717157266,0.09161467474172405
1713700,0.56322431442322818,0.34170897935993733
1713809,0.75112390969862408,0.30011095754978467
